instruction,intent
"that's all",end_conversation
"that is all",end_conversation
"I'm done",end_conversation
"I'm all set",end_conversation
"I'm good",end_conversation
"all set",end_conversation
"all done",end_conversation
"I'm finished",end_conversation
"that's it for me",end_conversation
"that's everything",end_conversation
"no",end_conversation
"nope",end_conversation
"nah",end_conversation
"no thanks",end_conversation
"no thank you",end_conversation
"no, that's all",end_conversation
"no, i'm good",end_conversation
"nothing else",end_conversation
"nothing more",end_conversation
"I don't have any other questions",end_conversation
"I have no more questions",end_conversation
"that answers my question",end_conversation
"you've answered all my questions",end_conversation
"perfect, that's all i needed",end_conversation
"great, thanks",end_conversation
"okay, that's it",end_conversation
"alright, i'm done",end_conversation
"thanks for the help, that's all",end_conversation
"thank you, I'm all set",end_conversation
"that will be all",end_conversation
"bye",end_conversation
"goodbye",end_conversation
"exit",end_conversation
"quit",end_conversation
"I'm okay for now",end_conversation
"no other queries",end_conversation
"no further questions",end_conversation
"I think I have everything I need",end_conversation
"that's sufficient",end_conversation
"I don't need anything else",end_conversation
"that was it",end_conversation
"I have no other questions",end_conversation
"that was my only question",end_conversation
"thanks, bye",end_conversation
"ok, thanks",end_conversation
"no more help needed",end_conversation
"not at this time",end_conversation
"not right now",end_conversation
"I'm good for now",end_conversation
"I think flying is the best way to travel.",irrelevant
"Pilots must have a very stressful job.",irrelevant
"The view from the plane window is always amazing.",irrelevant
"I wish I could own my own private jet someday.",irrelevant
"Airports are such busy places.",irrelevant
"I've always been fascinated by aviation.",irrelevant
"My friend is a flight attendant.",irrelevant
"I believe air travel has changed the world.",irrelevant
"It's amazing how big those planes are.",irrelevant
"I prefer window seats over aisle seats.",irrelevant
"I'm watching a movie about a flight disaster.",irrelevant
"Do you know the movie 'Top Gun'?",irrelevant
"I read a book about the history of flight.",irrelevant
"What's that song about leaving on a jet plane?",irrelevant
"The Wright brothers were amazing inventors.",irrelevant
"I saw a documentary about airport operations.",irrelevant
"Who is Amelia Earhart?",irrelevant
"Is the movie 'Sully' accurate?",irrelevant
"What was the first commercial airline?",irrelevant
"How does a jet engine work?",irrelevant
"What are the principles of aerodynamics?",irrelevant
"How is jet fuel different from gasoline?",irrelevant
"What material are airplane wings made of?",irrelevant
"How does an airplane's black box work?",irrelevant
"What does the phonetic alphabet for 'pilot' stand for?",irrelevant
"How high do commercial airplanes typically fly?",irrelevant
"How do JetBlue's prices compare to Delta?",irrelevant
"I heard American Airlines has a new plane.",irrelevant
"My friend prefers flying with United.",irrelevant
"Is Southwest a budget airline like Spirit?",irrelevant
"Which airline has the best loyalty program?",irrelevant
"I saw on the news that airline stocks are down.",irrelevant
"Is your airline planning to add new routes to Asia?",irrelevant
"Who is the CEO of JetBlue?",irrelevant
"Are you buying new airplanes this year?",irrelevant
"What is your company's strategy for sustainability?",irrelevant
"I remember my first flight as a child, it was magical.",irrelevant
"I once had a terrible delay on a different airline years ago.",irrelevant
"My family and I flew with you last summer for our vacation.",irrelevant
"I used to be a pilot in the air force.",irrelevant
"My travel agent always books me on your flights.",irrelevant
"What's the best way to avoid jet lag?",irrelevant
"Is it better to check in online or at the airport?",irrelevant
"What are the best travel destinations in Europe?",irrelevant
"I'm thinking about planning a trip.",irrelevant
"Should I use a travel pillow?",irrelevant
my pnr is WQ847B,inform
the flight number is JB202,inform
i'm flying to san francisco,inform
my name is john doe,inform
it's for flight UA987,inform
the booking reference is PGT654,inform
just wanted to let you know my PNR is KL321F,inform
the confirmation code is FR654C,inform
i'm on flight number AA101,inform
it's under the name Jane Smith,inform
my booking id is LH543G,inform
that's flight DL432,inform
i'm headed to JFK,inform
my last name is Williams,inform
the reference is TY543P,inform
"i have the pnr, it's CV432B",inform
the flight is EK203,inform
my destination is LAX,inform
my first name is Michael,inform
it's booking number PO987L,inform
my pnr: GH231Z,inform
flight: BA283,inform
destination airport: ORD,inform
passenger name: Emily Jones,inform
PNR is DF456G,inform
flight ID is VS123,inform
traveling to LHR,inform
the name on the booking is David Chen,inform
my confirmation number is AS789V,inform
i'm on the flight to boston,inform
the passenger is Olivia Taylor,inform
"just providing my booking code, it is ZX654M",inform
it is flight QF78,inform
my arrival airport is CDG,inform
it's for passenger Robert Brown,inform
my booking ref is BN789P,inform
pnr number is YU123D,inform
i'm on the 8pm flight,inform
flying out of SFO,inform
the booking is under Sarah Miller,inform
my ticket number is MJ876T,inform
i am on flight AI102,inform
my destination is DEL,inform
name on ticket is Chris Wilson,inform
the booking is WE234R,inform
my pnr is JK543B,inform
flight id is SQ321,inform
my departure airport is DXB,inform
the passenger's name is Jessica Lee,inform
"i have a booking, ID is PO345U",inform
my flight is TG910,inform
headed to HND,inform
it's for James Johnson,inform
the pnr for my flight is ER678F,inform
"i have a flight, number is CA888",inform
arriving at FRA,inform
the traveler is Patricia Garcia,inform
my ticket ref: XC987V,inform
PNR: VB567S,inform
Flight: QR765,inform
Destination: AMS,inform
Passenger: Linda Martinez,inform
booking code is FG321H,inform
flight number is AC789,inform
my arrival city is SYD,inform
name is Daniel Rodriguez,inform
"i'm providing my pnr now, it's RT432W",inform
the flight i'm on is IB688,inform
departing from IAD,inform
it is for Elizabeth Hernandez,inform
my reservation code is PL987M,inform
it's flight JL407,inform
flying into BKK,inform
the passenger's name is William Lopez,inform
my reference is CV123N,inform
i'm giving you my pnr - it's SD789G,inform
the flight is TK199,inform
my departure location is ATL,inform
it's under the name Susan Gonzalez,inform
i believe the PNR is WE456T,inform
it's for flight number LX18,inform
my destination is ZRH,inform
the name is Joseph Perez,inform
my booking number: QW543A,inform
flight is OZ222,inform
i'm flying to ICN,inform
the passenger is Karen Thompson,inform
my ticket is under ref KL654J,inform
the pnr is TY789U,inform
it is flight AF345,inform
departing from SEA,inform
the name on the ticket is Nancy White,inform
my booking reference number is ZX876C,inform
"hi, my pnr is XA123B, can you tell me if it's on time and also what is the baggage allowance?",greeting,inform,check_flight_status,ask_policy
"good morning, for flight UA456, what's the status and the cancellation policy?",greeting,inform,check_flight_status,ask_policy
"hey, booking ref ZD543F, is it on time and can I change my seat?",greeting,inform,check_flight_status,change_seat
"hello, for my flight GH654J, tell me the arrival time and the pet policy",greeting,inform,check_arrival_time,ask_policy
"i need to cancel flight CD321, what's the fee and what is my pnr?",cancel_flight,ask_policy,inform
"check me in for flight EF987 and tell me about bringing a guitar on board",check_in,ask_policy
"my flight is KL654, get my boarding pass and tell me if it's delayed",inform,get_boarding_pass,check_flight_status
